,ID,County,StateID,LA1and10,LAhalfand10,LA1and20,LowIncomeTracts,PovertyRate,MedianFamilyIncome,Lahunv1,Lahunv10,Obesity_perc,Diabetes_perc,HighCol,CarDisDeathRateB,CarDisDeathRateH,CarDisDeathRateW,TotalPop,TotalPopW,TotalPopB,S1501_C01_001E,S1501_C01_002E,S1501_C01_003E,S1501_C01_004E,S1501_C01_005E,S1501_C01_006E,S1501_C01_008E,S1501_C01_009E,S1501_C01_010E
0,10589,Teton,WY,0.5,0.5,0.5,0.0,7.425,112766.75,18.5,0.0,11.0,2.2,28.7,0.0,75.0,127.9,23331,19202,55,0,0,0,0,0,0,0,0,0
1,10590,Kalawao,HI,0.0,0.0,0.0,0.0,10.6,123750.0,15.0,6.983333333333333,11.2,6.5,38.6,0.0,0.0,0.0,82,27,2,0,0,0,0,0,0,0,0,0
2,10591,Taliaferro,GA,1.0,1.0,0.0,1.0,28.0,42292.0,89.0,84.0,12.6,10.5,41.1,353.3,0.0,207.2,1559,606,833,0,0,0,0,0,0,0,0,0
3,10592,Boulder,CO,0.2941,0.8235,0.2794,0.3382,12.725,110297.42,12.1667,1.5,14.2,5.2,28.7,182.4,146.5,155.6,330758,255983,3393,46943,2951,11049,25157,7786,217746,5918,22028,28646
4,10593,Gunnison,CO,0.25,0.5,0.0,0.5,13.45,77908.5,23.5,1.0,14.2,3.2,29.1,0.0,135.1,133.3,16918,14652,88,0,0,0,0,0,0,0,0,0
5,10594,Summit,UT,0.6154,0.6154,0.4615,0.0,6.1846,122272.5,12.1538,7.2,14.3,4.3,31.4,186.5,84.4,160.4,42357,35927,173,0,0,0,0,0,0,0,0,0
6,10595,Pitkin,CO,0.25,0.25,0.25,0.0,7.625,107435.25,20.25,0.0,14.9,3.1,32.5,0.0,66.6,66.9,17358,14797,106,0,0,0,0,0,0,0,0,0
7,10596,Summit,CO,0.2,0.2,0.2,0.0,10.24,91998.0,12.4,0.0,15.3,4.1,30.3,0.0,51.5,75.4,31055,24751,247,0,0,0,0,0,0,0,0,0
8,10597,New York,NY,0.0035,0.0035,0.0035,0.3881,16.4416,137292.85,0.0,7.310822499999998,15.7,6.6,29.7,320.4,158.6,136.8,1694251,847604,229361,145284,10300,29156,56233,49595,1251551,73291,158877,120657
9,10598,Eagle,CO,0.2143,0.2857,0.2143,0.0,7.6857,97315.21,10.0,0.2857,16.0,4.4,29.5,0.0,71.3,89.1,55731,39594,340,0,0,0,0,0,0,0,0,0
